2025-10-23 18:57:45.627 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - Initializing Spark Delta Indexer
2025-10-23 18:57:45.679 [main] WARN  org.apache.spark.util.Utils - Your hostname, Nihals-MacBook-Air.local resolves to a loopback address: 127.0.0.1; using 10.0.0.38 instead (on interface en0)
2025-10-23 18:57:45.679 [main] WARN  org.apache.spark.util.Utils - Set SPARK_LOCAL_IP if you need to bind to another address
2025-10-23 18:57:45.806 [main] WARN  o.a.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2025-10-23 18:57:46.346 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - Spark Delta Indexer initialized successfully
2025-10-23 18:57:46.683 [main] INFO  com.cs441.hw2.StorageLayer - No existing documents table found - returning empty DataFrame
2025-10-23 18:57:47.058 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - ================================================================================
2025-10-23 18:57:47.059 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - FIRST RUN: Processing entire corpus
2025-10-23 18:57:47.059 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - ================================================================================
2025-10-23 18:57:47.059 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - Step 1: Scanning documents...
2025-10-23 18:57:47.059 [main] INFO  com.cs441.hw2.DocumentScanner - Scanning directory for PDFs: test-corpus
2025-10-23 18:57:47.060 [main] INFO  com.cs441.hw2.DocumentScanner - Found 3 PDF files
2025-10-23 18:57:47.147 [main] INFO  com.cs441.hw2.SparkDeltaIndexer - Stopping Spark session
2025-10-23 18:58:09.633 [sbt-bg-threads-1] INFO  com.cs441.hw2.SparkDeltaIndexer - Initializing Spark Delta Indexer
2025-10-23 18:58:09.706 [sbt-bg-threads-1] WARN  org.apache.spark.util.Utils - Your hostname, Nihals-MacBook-Air.local resolves to a loopback address: 127.0.0.1; using 10.0.0.38 instead (on interface en0)
2025-10-23 18:58:09.706 [sbt-bg-threads-1] WARN  org.apache.spark.util.Utils - Set SPARK_LOCAL_IP if you need to bind to another address
2025-10-23 18:58:09.828 [sbt-bg-threads-1] WARN  o.a.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2025-10-23 18:58:10.506 [sbt-bg-threads-1] INFO  com.cs441.hw2.SparkDeltaIndexer - Spark Delta Indexer initialized successfully
